"Campaign ID","State","Signal Category","Search Query","Source URL","Page Title","Snippet","Verification Status","Signal Type","Signal Summary","Signal Date","Organization","Crawl Priority","Recommended Scraper","Confidence Score","Connected URLs","Page Content","Signal Analysis","Promote to Verified","14b2e15c-75a3-48b5-9506-a47a21a14bbe","Classification","Publication Date","Score"
"ca-retirement-signals","California","retirement_announcement","""retiring after"" years California school district 2025 OR 2026","https://www.kvue.com/article/news/local/san-marcos-consolidated-isd-superintendent-retiring-announcement/269-cd9d2abf-fed1-47f7-ba5b-38942ed9ad25","San Marcos CISD superintendent retiring after decade with ...","San Marcos CISD superintendent retiring after decade with district ... Michael Cardona said he plans to complete his time with the school district in September.","verified_signal","retirement_announcement","Michael Cardona, Superintendent of San Marcos Consolidated ISD in Texas (note: source is Texas, not California), has announced his retirement, with plans to complete his time with the district in September 2026.","2026-07-20","San Marcos Consolidated ISD","90","static_html_scraper","10","","![x](https://www.kvue.com/assets/shared-images/icons/close-menu.svg)  [Skip Navigation](https://www.kvue.com/article/news/local/san-marcos-consolidated-isd-superintendent-retiring-announcement/269-cd9d2abf-fed1-47f7-ba5b-38942ed9ad25#main)  - Share on Facebook - Share on SMS - Share on Email  [![KVUE Home](https://www.kvue.com/assets/shared-images/logos/kvue.png)](https://www.kvue.com/)  ## Navigation  - [News](https://www.kvue.com/news)         - [Back](https://www.kvue.com/article/news/local/san-marcos-consolidated-isd-superintendent-retiring-announcement/269-cd9d2abf-fed1-47f7-ba5b-38942ed9ad25#)    - [Local](https://www.kvue.com/local)   - [ATXtoday](https://6am.city/atxnav)   - [Near Me](https://www.kvue.com/near-me)   - [Health](https://www.kvue.com/health)   - [Nation World](https://www.kvue.com/nation-world)   - [Defenders](https://www.kvue.com/defenders)   - [Life](https://www.kvue.com/life)   - [Entertainment](https://www.kvue.com/entertainment)   - [Money](https://www.kvue.com/money)   - [Politics](https://www.kvue.com/politics)   - [Community](https://www.kvue.com/community)   - [Features](https://www.kvue.com/features)  Latest News Stories    - [![](https://media.kvue.com/assets/KVUE/images/c222c37a-fd41-45e5-87c4-d44991e6616d/20260421T174223/c222c37a-fd41-45e5-87c4-d44991e6616d_360x203.jpg)](https://www.kvue.com/article/news/local/drowning-rockdale-milam-county-texas/269-baad39ff-d3d0-401b-adda-17e70813d4ae)          #### [Drowning near Rockdale under investigation](https://www.kvue.com/article/news/local/drowning-rockdale-milam-county-texas/269-baad39ff-d3d0-401b-adda-17e70813d4ae)    - [![](https://media.kvue.com/assets/KVUE/images/ebc9be51-69d2-4edb-8819-d2609adfc658/ebc9be51-69d2-4edb-8819-d2609adfc658_360x203.jpg)](https://www.kvue.com/article/news/education/schools/cedar-ridge-high-school-30-million-upgrades-round-rock-isd-texas/269-676c4052-a210-4e23-aa3d-fc0f519c558c)          #### [Round Rock's Cedar Ridge High School to undergo $30M additions](https://www.kvue.com/article/news/education/schools/cedar-ridge-high-school-30-million-upgrades-round-rock-isd-texas/269-676c4052-a210-4e23-aa3d-fc0f519c558c)   - [Weather](https://www.kvue.com/weather/)         - [Back](https://www.kvue.com/article/news/local/san-marcos-consolidated-isd-superintendent-retiring-announcement/269-cd9d2abf-fed1-47f7-ba5b-38942ed9ad25#)    - [Forecast](https://www.kvue.com/forecast)   - [Radar](https://www.kvue.com/radar)   - [7-Day](https://www.kvue.com/10-day)   - [Hourly](https://www.kvue.com/hourly)   - [Maps](https://www.kvue.com/weather-maps)   - [Closing & Delays](https://www.kvue.com/closings)   - [Traffic](https://www.kvue.com/traffic)   - [Weathercams](https://www.kvue.com/weathercams)   - [Blogs](https://www.kvue.com/weatherblogs)   - [Allergy](https://www.kvue.com/allergy)  Latest Weather Stories    - [![](https://media.kvue.com/assets/KVUE/images/0032fc52-129e-4ea8-9d2a-b2dac9a9c2b5/20260720T163111/0032fc52-129e-4ea8-9d2a-b2dac9a9c2b5_360x203.jpg)](https://www.kvue.com/article/weather/forecast/austin-weather-central-texas-forecast/269-43840919)          #### [Forecast: Tropical Depression Two Headlines a Hot Week Across Central Texas](https://www.kvue.com/article/weather/forecast/austin-weather-central-texas-forecast/269-43840919)    - [![](https://media.kvue.com/assets/KVUE/images/29d3cafe-92f0-4208-b7e0-d30187e2570a/29d3cafe-92f0-4208-b7e0-d30187e2570a_360x203.png)](https://www.kvue.com/article/weather/allergy-forecast/allergy-report-austin-allergies/269-44055429)          #### [Today's Allergy Report](https://www.kvue.com/article/weather/allergy-forecast/allergy-report-austin-allergies/269-44055429)   - [Sports](https://www.kvue.com/sports)         - [Back](https://www.kvue.com/article/news/local/san-marcos-consolidated-isd-superintendent-retiring-announcement/269-cd9d2abf-fed1-47f7-ba5b-38942ed9ad25#)    - [High School Sports](https://www.kvue.com/hss)   - [Austin FC](https://www.kvue.com/austinfc)   - [University of Texas Longhorns](https://www.kvue.com/longhorns)   - [Locked On Podcast Network](https://lockedonpodcasts.com/)  Latest Stories    - [![](https://media.kvue.com/assets/KVUE/images/3481a8b0-0396-4427-84c3-8a7c1b961ba4/20260719T225800/3481a8b0-0396-4427-84c3-8a7c1b961ba4_360x203.jpg)](https://www.kvue.com/article/sports/local-sports/texas-high-school-wrestler-dallas-reynolds-unlikely-path-sumo-world-championships/269-4259a9f2-5e99-4593-9959-3072b9b9b700)          #### [Dallas Reynolds' unlikely path to the Sumo World Championships](https://www.kvue.com/article/sports/local-sports/texas-high-school-wrestler-dallas-reynolds-unlikely-path-sumo-world-championships/269-4259a9f2-5e99-4593-9959-3072b9b9b700)    - [![](https://media.kvue.com/assets/WFAA/images/d8e12c9d-57eb-40a2-b2a4-b6197b4a7c91/d8e12c9d-57eb-40a2-b2a4-b6197b4a7c91_360x203.jpg)](https://www.kvue.com/article/sports/nba/new-dallas-mavericks-head-coach-dusty-may-aims-lead-team-with-blend-youth-veteran-prowess/287-8f7f9e87-6545-462","{""employer"":""San Marcos Consolidated Independent School District"",""url_type"":""news_article"",""job_title"":""Superintendent"",""person_name"":""Michael Cardona"",""signal_date"":""2026-07-20"",""signal_type"":""retirement_announcement"",""total_score"":90,""organization"":""San Marcos Consolidated ISD"",""score_timing"":20,""score_recency"":15,""classification"":""Hot"",""crawl_priority"":90,""score_identity"":10,""signal_summary"":""Michael Cardona, Superintendent of San Marcos Consolidated ISD in Texas (note: source is Texas, not California), has announced his retirement, with plans to complete his time with the district in September 2026."",""source_excerpt"":""San Marcos CISD superintendent retiring after decade with district ... Michael Cardona said he plans to complete his time with the school district in September."",""confidence_score"":10,""publication_date"":""2026-07-20"",""score_reliability"":8,""recommended_scraper"":""static_html_scraper"",""score_direct_intent"":30,""verification_status"":""verified_signal"",""score_contact_potential"":7}","","fe8d897a-ef38-46df-b854-e999e03ff4e9","Hot","2026-07-20","90"
"ca-retirement-signals","California","retirement_announcement","""will retire"" OR ""retiring this year"" California principal OR superintendent OR administrator","https://www.facebook.com/CASchoolNews/posts/fontana-unified-school-district-superintendent-inbody-announces-retirement-refle/1616504713817277/","California school superintendent announces retirement","At the November 8 board meeting, Superintendent Dr. Stan Rose announced that he will retire at the end of the school year in June 2019. His letter to the Santa ...","","","","","","","","","","","","","1b0d04ef-3fe4-4dd8-9e69-8bed41ca738b","","",""
"ca-retirement-signals","California","retirement_announcement","""retiring after"" years California school district 2025 OR 2026","https://www.facebook.com/WCSDK12/posts/this-evening-retiring-employees-of-the-williamsville-central-school-district-wer/1657982906335764/","Williamsville Central School District","This evening, retiring employees of the Williamsville Central School District were honored at the 2026 Retiree Celebration. This year's outgoing group ...","","","","","","","","","","","","","fe8d897a-ef38-46df-b854-e999e03ff4e9","","",""
"ca-retirement-signals","California","retirement_announcement","""will retire"" OR ""retiring this year"" California principal OR superintendent OR administrator","https://www.timesreporter.com/story/news/education/2026/07/08/indian-valley-high-school-principal-robert-clarke-retires-after-34-year-education-career/90818748007/","Robert Clarke retiring from Indian Valley High School","Indian Valley High School Principal Robert Clarke will retire at the end of July after a 34-year career in public education, including 13 years leading the ...","","","","","","","","","","","","","1b0d04ef-3fe4-4dd8-9e69-8bed41ca738b","","",""
"ca-retirement-signals","California","retirement_announcement","""will retire"" OR ""retiring this year"" California principal OR superintendent OR administrator","https://www.facebook.com/KXANnews/posts/san-marcos-cisd-superintendent-dr-michael-cardona-announced-he-will-retire-at-th/1501517432016177/","San Marcos CISD Superintendent Dr. Michael Cardona ...","San Marcos CISD Superintendent Dr. Michael Cardona announced he will retire at the end of September, concluding a decade leading the district. https://www.kxan. ...","","","","","","","","","","","","","1b0d04ef-3fe4-4dd8-9e69-8bed41ca738b","","",""
"ca-retirement-signals","California","retirement_announcement","""retiring after"" years California school district 2025 OR 2026","https://www.facebook.com/fullertonsd/posts/-after-nearly-27-years-of-service-maintenance-team-member-raul-vargas-diaz-is-re/1816257359352931/","Fullerton School District","Principal retiring after 34 years in public education. Sylvia Sanchez Mejia ▻ Miller Metro Parent Involvement. 1y · Public · From our Principal Mrs. Deleon: As ...","","","","","","","","","","","","","fe8d897a-ef38-46df-b854-e999e03ff4e9","","",""
"ca-retirement-signals","California","retirement_announcement","""will retire"" OR ""retiring this year"" California principal OR superintendent OR administrator","https://www.kvue.com/article/news/education/schools/hays-cisd-superintendent-eric-wright-retiring/269-daf60026-75c7-4e04-a141-a268b0dc21d8","Hays CISD superintendent to retire after nearly 10 years ...","Eric Wright will retire as Hays CISD superintendent in February 2027 after more than nine years with the district. His tenure makes him the second-longest ...","","","","","","","","","","","","","1b0d04ef-3fe4-4dd8-9e69-8bed41ca738b","","",""
"ca-retirement-signals","California","retirement_announcement","""will retire"" OR ""retiring this year"" California principal OR superintendent OR administrator","https://www.midfloridanewspapers.com/clermont_sun/superintendent-kornegay-to-retire-at-end-of-school-year/article_0d5308e2-d1be-402d-9cc3-38449f18d9a0.html","Superintendent Kornegay to retire at end of school year","Diane Kornegay, the award-winning superintendent of Lake County Schools (LCS), has announced that she will retire at the end of the 2026-27 school year.","","","","","","","","","","","","","1b0d04ef-3fe4-4dd8-9e69-8bed41ca738b","","",""
"ca-retirement-signals","California","retirement_announcement","""retiring after"" years California school district 2025 OR 2026","https://www.instagram.com/reel/DalMnQgF0M_/","One chapter closes. Another begins. Before we kick off a new ...","MELISSA DENNEY COMMUNICATIONS ASSOCIATE - CCSD JENNIFER SWEARINGEN RETIRING AFTER YEARS OF SERVICE TO THE STUDENTS OF CCSD CHERYL PERRY RETIRING AFTER 40 YEARS ...","","","","","","","","","","","","","fe8d897a-ef38-46df-b854-e999e03ff4e9","","",""
"ca-retirement-signals","California","retirement_announcement","""will retire"" OR ""retiring this year"" California principal OR superintendent OR administrator","https://www.sj-r.com/picture-gallery/news/education/2026/06/25/see-photos-of-jennifer-gill-over-the-years-as-she-retires-from-springfield-school-district-186/90064398007/","Gill departs D186 after 12 years as superintendent. See ...","Gill recently announced she will retire at the end of her contact in 2026. Steven Spearie/The State Journal-Register.","","","","","","","","","","","","","1b0d04ef-3fe4-4dd8-9e69-8bed41ca738b","","",""
